Figure,Time (s),RBM10,NS5,ccpCF V-R,ccpCF R-V,,Figure,Time (s),RBM10,NS5,ccpCF V-R,ccpCF R-V
Figure S4b,0.003156061,0.148069779,0.534498353,0.609645005,0.819034925,,Figure S4c,0.022003139,-0.186267518,0.328132531,-0.900579281,0.113151839
Figure S4b,0.003281045,0.161960911,0.432242192,0.612138771,0.674605818,,Figure S4c,0.022874491,-0.327313075,0.110825975,-0.919794801,0.181951607
Figure S4b,0.003410979,0.168098853,0.324636203,0.608170562,0.534802366,,Figure S4c,0.023780349,-0.440343093,-0.059998963,-0.914401068,0.238653995
Figure S4b,0.003546058,0.165191407,0.212909872,0.597827829,0.399645948,,Figure S4c,0.02472208,-0.527479104,-0.187949492,-0.887433989,0.284949659
Figure S4b,0.003686486,0.153238572,0.098292683,0.581198023,0.26915794,,Figure S4c,0.025701104,-0.590842642,-0.276632818,-0.841929474,0.322529257
Figure S4b,0.003832475,0.133047973,-0.017985882,0.558368596,0.143359721,,Figure S4c,0.0267189,-0.632555239,-0.329656152,-0.78092343,0.366068776
Figure S4b,0.003984246,0.106880956,-0.134696337,0.529426998,0.022272667,,Figure S4c,0.027777001,-0.654738429,-0.350626699,-0.707451764,0.388687548
Figure S4b,0.004142027,0.077806493,-0.250609198,0.494460681,-0.094081844,,Figure S4c,0.028877004,-0.659513744,-0.343151669,-0.624550386,0.408979094
Figure S4b,0.004306056,0.049539654,-0.364494982,0.453506815,-0.205682435,,Figure S4c,0.030020569,-0.649002717,-0.31083827,-0.535255203,0.429592612
Figure S4b,0.004476581,0.025310935,-0.475124204,0.406850012,-0.312507727,,Figure S4c,0.031209421,-0.625326881,-0.257293709,-0.442602124,0.452972873
Figure S4b,0.00465386,0.008512357,-0.634838008,0.354129847,-0.469235404,,Figure S4c,0.032445352,-0.590607769,-0.186125194,-0.349627056,0.481137736
Figure S4b,0.004838158,0.00188984,-0.732874082,0.295001915,-0.569605839,,Figure S4c,0.033730228,-0.546966914,-0.100939934,-0.259365907,0.515484627
Figure S4b,0.005029755,0.006574059,-0.822215089,0.22932032,-0.665004699,,Figure S4c,0.035065986,-0.496525848,-0.005345136,-0.174854586,0.556732276
Figure S4b,0.00522894,0.024018737,-0.902075563,0.157293529,-0.754588063,,Figure S4c,0.036454643,-0.462654919,0.093391169,-0.104268509,0.60478358
Figure S4b,0.005436012,0.053900824,-0.971442405,0.079687437,-0.836767233,,Figure S4c,0.037898291,-0.415680072,0.200244837,-0.049062582,0.658758143
Figure S4b,0.005651285,0.094120497,-1.028998674,-0.002144227,-0.909293974,,Figure S4c,0.03939911,-0.358854497,0.308748343,-0.012229435,0.716976941
Figure S4b,0.005875083,0.143870134,-1.073148413,-0.086299556,-0.969434527,,Figure S4c,0.040959363,-0.298384409,0.411908342,0.003891385,0.777066411
Figure S4b,0.006107743,0.199273138,-1.102134237,-0.170456566,-1.014346638,,Figure S4c,0.042581404,-0.241668631,0.502661458,-0.002309428,0.836097464
Figure S4b,0.006349617,0.257583589,-1.11428285,-0.252095429,-1.04148988,,Figure S4c,0.04426768,-0.195176482,0.574363293,-0.031732954,0.890702001
Figure S4b,0.00660107,0.31557099,-1.10828531,-0.328830085,-1.049068422,,Figure S4c,0.046020735,-0.162976891,0.621233081,-0.084641086,0.937380922
Figure S4b,0.00686248,0.370004846,-1.083472928,-0.398660433,-1.036320996,,Figure S4c,0.047843213,-0.146261332,0.638783507,-0.160581952,0.972738361
Figure S4b,0.007134243,0.419108383,-1.040087139,-0.460212967,-1.003892993,,Figure S4c,0.049737863,-0.143400787,0.624153167,-0.258503431,0.993795315
Figure S4b,0.007416768,0.46110483,-0.979412732,-0.512854365,-0.953824888,,Figure S4c,0.051707543,-0.150491349,0.576336228,-0.376792727,0.998203432
Figure S4b,0.007710481,0.495348086,-0.903869586,-0.556722602,-0.889417277,,Figure S4c,0.053755225,-0.162068958,0.496298164,-0.513180982,0.984499359
Figure S4b,0.008015826,0.522161202,-0.81690151,-0.592589284,-0.814960463,,Figure S4c,0.055883998,-0.172017453,0.386939521,-0.664853634,0.952239492
Figure S4b,0.008333262,0.542513326,-0.722760422,-0.6216283,-0.735212851,,Figure S4c,0.058097073,-0.174717478,0.252912211,-0.828337627,0.902034385
Figure S4b,0.00866327,0.557858181,-0.626161397,-0.645114036,-0.654900654,,Figure S4c,0.060397789,-0.166178411,0.100339343,-0.999544341,0.835496791
Figure S4b,0.009006346,0.569811016,-0.531878491,-0.664193257,-0.578205431,,Figure S4c,0.062789616,-0.144848944,-0.063613273,-1.173846164,0.755079658
Figure S4b,0.009363008,0.580310128,-0.444286102,-0.679582076,-0.508281245,,Figure S4c,0.065276162,-0.111671016,-0.231249925,-1.346163481,0.663861481
Figure S4b,0.009733795,0.590647714,-0.366927708,-0.691431434,-0.447016154,,Figure S4c,0.067861178,-0.069397233,-0.394845399,-1.51120443,0.565326537
Figure S4b,0.010119265,0.60195445,-0.302166786,-0.699367321,-0.394865247,,Figure S4c,0.070548564,-0.021463759,-0.54719659,-1.663623231,0.463032361
Figure S4b,0.01052,0.615361008,-0.250955383,-0.702548482,-0.350960234,,Figure S4c,0.073342374,0.029346634,-0.682077973,-1.798355204,0.36043427
Figure S4b,0.010936605,0.630059764,-0.212751075,-0.699849569,-0.31336097,,Figure S4c,0.076246822,0.081563904,-0.794623767,-1.910899959,0.260673449
Figure S4b,0.011369708,0.646535293,-0.185600444,-0.690199619,-0.279402893,,Figure S4c,0.07926629,0.134757561,-0.881581151,-1.997505965,0.166531461
Figure S4b,0.011819963,0.663656921,-0.166360533,-0.672815079,-0.246187031,,Figure S4c,0.082405332,0.188262971,-0.941431041,-2.055424651,0.080327696
Figure S4b,0.012288048,0.679647876,-0.151021976,-0.647397565,-0.211046854,,Figure S4c,0.085668685,0.239824742,-0.974334794,-2.082987216,0.003959571
Figure S4b,0.012774669,0.692569859,-0.135156211,-0.614291704,-0.171989531,,Figure S4c,0.08906127,0.284959574,-0.981957174,-2.079621416,-0.061048231
Figure S4b,0.013280562,0.7,-0.114395627,-0.574471505,-0.127941988,,Figure S4c,0.092588206,0.317810792,-0.967180297,-2.045799217,-0.11352571
Figure S4b,0.013806489,0.699838475,-0.084890891,-0.529462122,-0.078932724,,Figure S4c,0.096254812,0.332979071,-0.933732945,-1.982909697,-0.152558909
Figure S4b,0.014353242,0.689500888,-0.043677073,-0.481095637,-0.026111086,,Figure S4c,0.100066621,0.32762871,-0.885790307,-1.893067739,-0.177568108
Figure S4b,0.014921648,0.667048942,0.011039835,-0.431260904,0.028322309,,Figure S4c,0.104029382,0.302521382,-0.827569346,-1.778986544,-0.188327587
Figure S4b,0.015512564,0.631513487,0.079722314,-0.381691809,0.081439582,,Figure S4c,0.108149074,0.261527836,-0.762973178,-1.643723191,-0.185040238
Figure S4b,0.016126881,0.5820869,0.161469422,-0.333699643,0.129889079,,Figure S4c,0.11243191,0.210002999,-0.695294796,-1.490622414,-0.168445064
Figure S4b,0.016765525,0.520061379,0.254110563,-0.288047957,0.170204836,,Figure S4c,0.116884352,0.153065425,-0.627017676,-1.323114948,-0.139910359
Figure S4b,0.01742946,0.447536747,0.354448632,-0.244981239,0.199231506,,Figure S4c,0.121513116,0.094807027,-0.559694888,-1.144631505,-0.101485329
Figure S4b,0.018119688,0.367258924,0.458549548,-0.204189331,0.214407392,,Figure S4c,0.126325185,0.038555054,-0.493929878,-0.958562167,-0.055816616
Figure S4b,0.01883725,0.283750606,0.562136561,-0.165044403,0.21398515,,Figure S4c,0.131327817,-0.012619645,-0.429444952,-0.768186121,-0.006039952
Figure S4b,0.019583229,0.200888386,0.660967631,-0.126836931,0.197173169,,Figure S4c,0.13652856,-0.055887131,-0.365234073,-0.576623222,0.044452546
Figure S4b,0.020358749,0.12319496,0.751189968,-0.088956431,0.164156399,,Figure S4c,0.141935259,-0.089296081,-0.299787187,-0.386869443,0.092258879
Figure S4b,0.02116498,0.054869973,0.829610449,-0.051128943,0.116057659,,Figure S4c,0.14755607,-0.112699922,-0.231355171,-0.201717895,0.134285563
Figure S4b,0.022003139,-0.00182523,0.893845978,-0.013549924,0.054784121,,Figure S4c,0.153399471,-0.12805344,-0.15821987,-0.023820296,0.168054439
Figure S4b,0.022874491,-0.043983201,0.942416511,0.023012073,-0.017104112,,Figure S4c,0.159474279,-0.138663134,-0.078990577,0.14434074,0.191891422
Figure S4b,0.023780349,-0.070957842,0.974659696,0.057211111,-0.096623726,,Figure S4c,0.165789656,-0.147843059,0.007136602,0.300431483,0.205038091
Figure S4b,0.02472208,-0.081941528,0.990617735,0.087316488,-0.180628792,,Figure S4c,0.172355131,-0.157662834,0.100217974,0.442278653,0.207646233
Figure S4b,0.025701104,-0.077741883,0.990823551,0.111275622,-0.266062852,,Figure S4c,0.179180606,-0.16842099,0.199427457,0.567921225,0.200657572
Figure S4b,0.0267189,-0.059328057,0.976113061,0.126917822,-0.350144752,,Figure S4c,0.186276378,-0.179025488,0.303065928,0.675586542,0.185624557
Figure S4b,0.027777001,-0.027830722,0.947426552,0.132235245,-0.430593503,,Figure S4c,0.193653151,-0.187904931,0.408629514,0.763845571,0.16438856
Figure S4b,0.028877004,0.015780972,0.905692962,0.125537323,-0.505896114,,Figure S4c,0.201322054,-0.193950875,0.512994089,0.831640587,0.138824343
Figure S4b,0.030020569,0.069891778,0.851799106,0.105675347,-0.575368183,,Figure S4c,0.209294655,-0.19702377,0.612653567,0.878387586,0.110611951
Figure S4b,0.031209421,0.132563398,0.786616454,0.072218487,-0.639262828,,Figure S4c,0.217582981,-0.197778896,0.704003144,0.904064232,0.081060565
Figure S4b,0.032445352,0.201534486,0.711084849,0.025490793,-0.698754705,,Figure S4c,0.226199534,-0.197022479,0.783626327,0.90925144,0.051015148
Figure S4b,0.033730228,0.274220643,0.626281654,-0.033329417,-0.75580611,,Figure S4c,0.235157314,-0.19491306,0.848536003,0.895187293,0.020875525
Figure S4b,0.035065986,0.347391375,0.533461713,-0.102229919,-0.812914608,,Figure S4c,0.244469832,-0.190446417,0.896375231,0.863776365,-0.009312309
Figure S4b,0.036454643,0.41733161,0.434115143,-0.178492948,-0.872759808,,Figure S4c,0.254151138,-0.181546067,0.925541447,0.817473878,-0.039685319
Figure S4b,0.037898291,0.479680181,0.329938654,-0.258820565,-0.937798982,,Figure S4c,0.264215836,-0.165736992,0.935248386,0.759173202,-0.07031233
Figure S4b,0.03939911,0.530722016,0.222773554,-0.339581487,-1.009860592,,Figure S4c,0.274679107,-0.140887009,0.925514028,0.69211084,-0.101112591
Figure S4b,0.040959363,0.566257471,0.114517621,-0.417075358,-1.089722329,,Figure S4c,0.285556738,-0.105811853,0.897110625,0.619588399,-0.131603147
Figure S4b,0.042581404,0.583379099,0.006991887,-0.487786036,-1.176814259,,Figure S4c,0.296865135,-0.06045532,0.85146599,0.544896656,-0.160884179
Figure S4b,0.04426768,0.580310128,-0.098142448,-0.548771227,-1.269010597,,Figure S4c,0.30862136,-0.005857022,0.790552027,0.471071537,-0.187608346
Figure S4b,0.046020735,0.556242933,-0.199439841,-0.597867367,-1.362604645,,Figure S4c,0.320843145,0.055721005,0.716745352,0.400818062,-0.210099011
Figure S4b,0.047843213,0.512469714,-0.295648893,-0.633870341,-1.452461777,,Figure S4c,0.333548928,0.120541674,0.632698435,0.336370974,-0.226468634
Figure S4b,0.049737863,0.451574867,-0.385732758,-0.656643238,-1.532366279,,Figure S4c,0.346757875,0.183189886,0.541181187,0.279494488,-0.234842455
Figure S4b,0.051707543,0.377111937,-0.468695497,-0.667037003,-1.595436588,,Figure S4c,0.360489913,0.237141879,0.444942102,0.231528931,-0.233576374
Figure S4b,0.053755225,0.294734292,-0.54346224,-0.666738088,-1.634748407,,Figure S4c,0.374765757,0.276027989,0.34657803,0.193416817,-0.22141027
Figure S4b,0.055883998,0.20977225,-0.608734367,-0.657985902,-1.643907672,,Figure S4c,0.389606942,0.295354683,0.248424052,0.165831345,-0.197664597
Figure S4b,0.058097073,0.128848328,-0.66289305,-0.643227527,-1.617734362,,Figure S4c,0.405035855,0.293904573,0.152457691,0.149286657,-0.162287567
Figure S4b,0.060397789,0.057615894,-0.703919184,-0.62472326,-1.55278513,,Figure S4c,0.421075773,0.274150756,0.060254284,0.144163346,-0.115939987
Figure S4b,0.062789616,0.001566791,-0.729420385,-0.60422606,-1.44773694,,Figure S4c,0.437750891,0.241582041,-0.027005519,0.150786991,-0.059913494
Figure S4b,0.065276162,-0.035745437,-0.736781058,-0.582700865,-1.303694433,,Figure S4c,0.455086365,0.203293904,-0.108515408,0.169412654,0.003899606
Figure S4b,0.067861178,-0.051251817,-0.723412627,-0.560127053,-1.12421017,,Figure S4c,0.473108344,0.166257255,-0.18375715,0.200060683,0.073147725
Figure S4b,0.070548564,-0.044144726,-0.687127436,-0.535545486,-0.91510046,,Figure S4c,0.491844016,0.136043559,-0.252402782,0.242522991,0.145119658
Figure S4b,0.073342374,-0.015877887,-0.626518576,-0.507188775,-0.684064818,,Figure S4c,0.511321643,0.115974209,-0.314214576,0.296087358,0.216872513
Figure S4b,0.076246822,0.030479729,-0.541395959,-0.47269684,-0.440199693,,Figure S4c,0.531570609,0.106929175,-0.368936061,0.359436026,0.285407524
Figure S4b,0.07926629,0.090405427,-0.433112583,-0.429465109,-0.193284086,,Figure S4c,0.552621459,0.107906064,-0.416244277,0.430507141,0.347814169
Figure S4b,0.082405332,0.158245841,-0.304788949,-0.375013934,0.046936786,,Figure S4c,0.574505948,0.11693145,-0.455717675,0.506479162,0.401365739
Figure S4b,0.085668685,0.227216928,-0.16127964,-0.307342149,0.271385373,,Figure S4c,0.597257089,0.132115882,-0.486864138,0.583758154,0.44366857
Figure S4b,0.08906127,0.290373122,-0.009015468,-0.225259626,0.472270556,,Figure S4c,0.620909204,0.152414081,-0.509182826,0.65821495,0.472789468
Figure S4b,0.092588206,0.342222581,0.144438703,-0.128607016,0.643540772,,Figure S4c,0.645497972,0.177735018,-0.522247521,0.72529343,0.487356561
Figure S4b,0.096254812,0.377273461,0.290944949,-0.018426253,0.781103121,,Figure S4c,0.671060485,0.208564603,-0.52581591,0.780433662,0.486624203
Figure S4b,0.100066621,0.392618317,0.422459503,0.103020286,0.882830129,,Figure S4c,0.697635305,0.245270006,-0.519943573,0.819385052,0.470582513
Figure S4b,0.104029382,0.38631885,0.531724129,0.232376958,0.948516758,,Figure S4c,0.72526252,0.28757071,-0.505073082,0.838584482,0.439944089
Figure S4b,0.108149074,0.358536585,0.612928572,0.365338185,0.979508508,,Figure S4c,0.753983808,0.334448231,-0.482120124,0.835553335,0.396163425
Figure S4b,0.11243191,0.312017445,0.662112291,0.496950951,0.978269658,,Figure S4c,0.783842493,0.384258214,-0.452487222,0.809080201,0.341395007
Figure S4b,0.116884352,0.250314973,0.677392642,0.621945004,0.947950579,,Figure S4c,0.814883619,0.434935007,-0.418057313,0.759541486,0.278396206
Figure S4b,0.121513116,0.177790341,0.658996959,0.735078637,0.891860597,,Figure S4c,0.847154012,0.484113609,-0.381122404,0.688809107,0.21036732
Figure S4b,0.126325185,0.099289291,0.609019192,0.831532516,0.813120677,,Figure S4c,0.880702352,0.529234209,-0.344261308,0.6003774,0.140776276
Figure S4b,0.131327817,0.019657567,0.530986991,0.907275596,0.714330652,,Figure S4c,0.915579248,0.567824371,-0.310162107,0.499099343,0.073134778
Figure S4b,0.13652856,-0.056905185,0.429356971,0.959324783,0.597363595,,Figure S4c,0.951837311,0.597935292,-0.281409766,0.39094793,0.010720638
Figure S4b,0.141935259,-0.127006946,0.308912494,0.985957739,0.46339654,,Figure S4c,0.989531239,0.611432967,-0.25036752,0.266162887,-0.043609968
Figure S4b,0.14755607,-0.188386367,0.174218178,0.986849751,0.312956435,,Figure S4c,1.028717892,0.62185571,-0.22496668,0.147569265,-0.087746845
Figure S4b,0.153399471,-0.239266677,0.029190492,0.963064214,0.14618237,,Figure S4c,1.069456385,0.629889442,-0.206820644,0.040522488,-0.120465138
Figure S4b,0.159474279,-0.279486351,-0.123158283,0.916966921,-0.036908762,,Figure S4c,1.111808173,0.636220083,-0.197542812,-0.04962202,-0.14157422
Figure S4b,0.165789656,-0.308560814,-0.280829031,0.85200852,-0.235995986,,Figure S4c,1.155837143,0.641533551,-0.198746584,-0.117508837,-0.151900656
Figure S4b,0.172355131,-0.326490066,-0.442719839,0.772517955,-0.450153511,,Figure S4c,1.201609714,0.646515768,-0.21204536,-0.157782538,-0.153250722
Figure S4b,0.179180606,-0.334243256,-0.608357976,0.683419169,-0.677587414,,Figure S4c,1.249194936,0.651852652,-0.239052538,-0.165087701,-0.148230518
Figure S4b,0.186276378,-0.331981909,-0.777536496,0.58991077,-0.915376166,,Figure S4c,1.298664591,0.658230123,-0.281381519,-0.134068902,-0.144123076
Figure S4b,0.193653151,-0.320675174,-0.949869584,0.497177693,-1.159443888,,Figure S4c,1.350093305,0.666334102,-0.340645701,-0.059370718,-0.134964101
Figure S4b,0.201322054,-0.301130674,-1.124442893,0.410117285,-1.404595759,,Figure S4c,1.403558659,0.676850507,-0.418458486,0.064362275,-0.126910903
Figure S4b,0.209294655,-0.274317558,-1.299484663,0.333117565,-1.644750121,,Figure S4c,1.459141307,0.69046526,-0.516433271,0.242485499,-0.122800962
Figure S4b,0.217582981,-0.242497173,-1.472158361,0.269834862,-1.87322738,,Figure S4c,1.516925096,0.707864278,-0.636183457,0.480354379,-0.125471753
Figure S4b,0.226199534,-0.206961719,-1.638534339,0.223001232,-2.083265728,,,,,,,
Figure S4b,0.235157314,-0.170457115,-1.793778142,0.194331756,-2.268489685,,,,,,,
Figure S4b,0.244469832,-0.135406235,-1.932461706,0.18440767,-2.423393937,,,,,,,
Figure S4b,0.254151138,-0.104070425,-2.04901625,0.192626764,-2.543851955,,,,,,,
Figure S4b,0.264215836,-0.078387983,-2.138299123,0.217245415,-2.627420451,,,,,,,
Figure S4b,0.274679107,-0.059651106,-2.196178179,0.255471914,-2.673598504,,,,,,,
Figure S4b,0.285556738,-0.048828945,-2.220003686,0.303594886,-2.683953322,,,,,,,
Figure S4b,0.296865135,-0.0452754,-2.209081081,0.357272996,-2.661914205,,,,,,,
Figure S4b,0.30862136,-0.048505896,-2.164888917,0.411851748,-2.61261622,,,,,,,
Figure S4b,0.320843145,-0.056905185,-2.091091375,0.46268558,-2.542463473,,,,,,,
Figure S4b,0.333548928,-0.068696495,-1.993320783,0.505520158,-2.458608008,,,,,,,
Figure S4b,0.346757875,-0.082264578,-1.878784875,0.536805444,-2.368417168,,,,,,,
Figure S4b,0.360489913,-0.095994185,-1.755661819,0.553951958,-2.278891586,,,,,,,
Figure S4b,0.374765757,-0.108754644,-1.632406371,0.555525657,-2.196069747,,,,,,,
Figure S4b,0.389606942,-0.120222904,-1.516976711,0.54124975,-2.124553576,,,,,,,
Figure S4b,0.405035855,-0.129914392,-1.416157829,0.511997488,-2.067143124,,,,,,,
Figure S4b,0.421075773,-0.138475206,-1.335019655,0.46962821,-2.024596154,,,,,,,
Figure S4b,0.437750891,-0.146874495,-1.276468876,0.416722633,-1.995639341,,,,,,,
Figure S4b,0.455086365,-0.155919884,-1.241057379,0.356340008,-1.977056241,,,,,,,
Figure S4b,0.473108344,-0.16690357,-1.227028524,0.291711056,-1.964080817,,,,,,,
Figure S4b,0.491844016,-0.180633177,-1.230598987,0.225901753,-1.950872514,,,,,,,
Figure S4b,0.511321643,-0.19823938,-1.246389834,0.161637783,-1.931109065,,,,,,,
Figure S4b,0.531570609,-0.219883702,-1.268033296,0.101081163,-1.898700365,,,,,,,
Figure S4b,0.552621459,-0.24508157,-1.288847826,0.045713991,-1.848441583,,,,,,,
Figure S4b,0.574505948,-0.273025359,-1.302499148,-0.003689118,-1.776563266,,,,,,,
Figure S4b,0.597257089,-0.301938298,-1.303587278,-0.047048159,-1.681226224,,,,,,,
Figure S4b,0.620909204,-0.330366661,-1.288157768,-0.084826174,-1.56266468,,,,,,,
Figure S4b,0.645497972,-0.356049104,-1.253971226,-0.1178588,-1.423249655,,,,,,,
Figure S4b,0.671060485,-0.376724277,-1.200573309,-0.147210848,-1.26730017,,,,,,,
Figure S4b,0.697635305,-0.390938459,-1.129169748,-0.173862522,-1.100616578,,,,,,,
Figure S4b,0.72526252,-0.396914876,-1.042323245,-0.198612421,-0.929995508,,,,,,,
Figure S4b,0.753983808,-0.39433048,-0.943521624,-0.221919206,-0.7625402,,,,,,,
Figure S4b,0.783842493,-0.383669843,-0.836651117,-0.243893814,-0.604957404,,,,,,,
Figure S4b,0.814883619,-0.36638669,-0.725505617,-0.264289502,-0.463023852,,,,,,,
Figure S4b,0.847154012,-0.344257794,-0.613375676,-0.282671239,-0.341022496,,,,,,,
Figure S4b,0.880702352,-0.320352124,-0.50272337,-0.298572131,-0.241484061,,,,,,,
Figure S4b,0.915579248,-0.298546277,-0.395039671,-0.311655118,-0.164953424,,,,,,,
Figure S4b,0.951837311,-0.281586173,-0.29084689,-0.321894757,-0.110090186,,,,,,,
Figure S4b,0.989531239,-0.273348409,-0.189852074,-0.329678377,-0.073915975,,,,,,,
Figure S4b,1.028717892,-0.276901954,-0.091239675,-0.335742712,-0.052165673,,,,,,,
Figure S4b,1.069456385,-0.294508157,-0.044979737,-0.341175984,-0.048751392,,,,,,,
Figure S4b,1.111808173,-0.327782265,0.046178735,-0.347180713,-0.04548068,,,,,,,
Figure S4b,1.155837143,-0.377208852,0.13578448,-0.354966811,-0.043564643,,,,,,,
Figure S4b,1.201609714,-0.442464868,0.22415247,-0.364724885,-0.03893633,,,,,,,
Figure S4b,1.249194936,-0.521612017,0.311597679,-0.377269737,-0.027528791,,,,,,,
Figure S4b,1.298664591,-0.611419803,0.39843508,-0.393307698,-0.005275076,,,,,,,
Figure S4b,1.350093305,-0.708980779,0.484979645,-0.413545102,0.031891765,,,,,,,
Figure S4b,1.403558659,-0.809933775,0.571546348,-0.438688279,0.088038682,,,,,,,
Figure S4b,1.459141307,-0.909109998,0.658450162,-0.469443562,0.167232625,,,,,,,
Figure S4b,1.516925096,-1.002309805,0.746006059,-0.506517284,0.273540544,,,,,,,
